date,Bitcoin,BTC,isPartial
2020-02-29 00:00:00,78,21,False
2020-02-29 01:00:00,70,19,False
2020-02-29 02:00:00,64,19,False
2020-02-29 03:00:00,66,22,False
2020-02-29 04:00:00,63,20,False
2020-02-29 05:00:00,65,24,False
2020-02-29 06:00:00,69,23,False
2020-02-29 07:00:00,70,24,False
2020-02-29 08:00:00,66,22,False
2020-02-29 09:00:00,66,22,False
2020-02-29 10:00:00,63,22,False
2020-02-29 11:00:00,65,21,False
2020-02-29 12:00:00,67,21,False
2020-02-29 13:00:00,65,21,False
2020-02-29 14:00:00,62,19,False
2020-02-29 15:00:00,61,19,False
2020-02-29 16:00:00,59,18,False
2020-02-29 17:00:00,61,17,False
2020-02-29 18:00:00,64,18,False
2020-02-29 19:00:00,64,17,False
2020-02-29 20:00:00,66,16,False
2020-02-29 21:00:00,68,17,False
2020-02-29 22:00:00,71,17,False
2020-02-29 23:00:00,80,20,False
2020-03-01 00:00:00,69,18,False
2020-03-01 01:00:00,63,19,False
2020-03-01 02:00:00,57,18,False
2020-03-01 03:00:00,59,20,False
2020-03-01 04:00:00,56,19,False
2020-03-01 05:00:00,59,21,False
2020-03-01 06:00:00,59,21,False
2020-03-01 07:00:00,64,22,False
2020-03-01 08:00:00,62,21,False
2020-03-01 09:00:00,61,21,False
2020-03-01 10:00:00,61,20,False
2020-03-01 11:00:00,61,20,False
2020-03-01 12:00:00,62,20,False
2020-03-01 13:00:00,61,19,False
2020-03-01 14:00:00,59,18,False
2020-03-01 15:00:00,61,17,False
2020-03-01 16:00:00,61,18,False
2020-03-01 17:00:00,64,18,False
2020-03-01 18:00:00,76,18,False
2020-03-01 19:00:00,69,17,False
2020-03-01 20:00:00,71,17,False
2020-03-01 21:00:00,70,17,False
2020-03-01 22:00:00,73,18,False
2020-03-01 23:00:00,82,20,False
2020-03-02 00:00:00,68,18,False
2020-03-02 01:00:00,62,17,False
2020-03-02 02:00:00,59,19,False
2020-03-02 03:00:00,59,19,False
2020-03-02 04:00:00,61,21,False
2020-03-02 05:00:00,66,22,False
2020-03-02 06:00:00,68,23,False
2020-03-02 07:00:00,66,23,False
2020-03-02 08:00:00,68,22,False
2020-03-02 09:00:00,67,21,False
2020-03-02 10:00:00,70,21,False
2020-03-02 11:00:00,73,21,False
2020-03-02 12:00:00,70,21,False
2020-03-02 13:00:00,69,21,False
2020-03-02 14:00:00,73,22,False
2020-03-02 15:00:00,72,21,False
2020-03-02 16:00:00,72,21,False
2020-03-02 17:00:00,74,20,False
2020-03-02 18:00:00,74,20,False
2020-03-02 19:00:00,74,19,False
2020-03-02 20:00:00,76,19,False
2020-03-02 21:00:00,84,22,False
2020-03-02 22:00:00,85,21,False
2020-03-02 23:00:00,88,22,False
2020-03-03 00:00:00,70,19,False
2020-03-03 01:00:00,65,18,False
2020-03-03 02:00:00,62,19,False
2020-03-03 03:00:00,62,21,False
2020-03-03 04:00:00,64,20,False
2020-03-03 05:00:00,72,22,False
2020-03-03 06:00:00,69,22,False
2020-03-03 07:00:00,65,22,False
2020-03-03 08:00:00,66,21,False
2020-03-03 09:00:00,62,20,False
2020-03-03 10:00:00,66,21,False
2020-03-03 11:00:00,69,20,False
2020-03-03 12:00:00,69,21,False
2020-03-03 13:00:00,66,19,False
2020-03-03 14:00:00,66,19,False
2020-03-03 15:00:00,68,20,False
2020-03-03 16:00:00,68,19,False
2020-03-03 17:00:00,68,18,False
2020-03-03 18:00:00,70,19,False
2020-03-03 19:00:00,71,18,False
2020-03-03 20:00:00,72,18,False
2020-03-03 21:00:00,73,18,False
2020-03-03 22:00:00,76,19,False
2020-03-03 23:00:00,82,19,False
2020-03-04 00:00:00,65,17,False
2020-03-04 01:00:00,59,17,False
2020-03-04 02:00:00,57,17,False
2020-03-04 03:00:00,57,18,False
2020-03-04 04:00:00,60,20,False
2020-03-04 05:00:00,84,23,False
2020-03-04 06:00:00,100,25,False
2020-03-04 07:00:00,86,23,False
2020-03-04 08:00:00,79,23,False
